Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-04-08;196,00;196,00;196,00;196,00;0;0
2019-04-05;196,40;196,40;196,40;196,40;0;0
2019-04-04;196,50;196,50;196,50;196,50;0;0
2019-04-03;196,10;196,10;196,10;196,10;0;0
2019-04-02;196,20;196,20;196,20;196,20;0;0
2019-04-01;196,20;196,20;196,20;196,20;0;0
2019-03-29;195,25;195,25;195,25;195,25;0;0
2019-03-28;194,75;194,75;194,75;194,75;0;0
2019-03-27;194,45;194,45;194,45;194,45;0;0
2019-03-26;194,75;194,75;194,75;194,75;0;0
2019-03-25;194,20;194,20;194,20;194,20;25;4.855
2019-03-22;194,25;194,25;194,25;194,25;0;0
2019-03-21;194,05;194,95;194,05;194,95;200;38.990
2019-03-20;194,05;194,05;194,05;194,05;0;0
2019-03-19;194,05;194,05;194,05;194,05;0;0
2019-03-18;194,00;195,00;194,00;195,00;40;7.800
2019-03-15;194,00;194,00;194,00;194,00;0;0
2019-03-14;194,00;194,00;194,00;194,00;0;0
2019-03-13;194,00;194,00;194,00;194,00;0;0
2019-03-12;194,10;194,10;194,10;194,10;0;0
2019-03-11;194,00;194,00;194,00;194,00;0;0
2019-03-08;194,00;194,00;194,00;194,00;0;0
2019-03-07;194,00;194,00;194,00;194,00;0;0
2019-03-06;194,45;194,45;194,45;194,45;0;0
2019-03-05;194,00;194,00;194,00;194,00;0;0
2019-03-04;194,20;194,95;194,20;194,95;75;14.621
2019-03-01;194,20;194,20;194,20;194,20;0;0
2019-02-28;194,00;194,00;194,00;194,00;0;0
2019-02-27;194,00;194,00;194,00;194,00;0;0
2019-02-26;194,00;194,00;194,00;194,00;0;0
2019-02-25;194,25;194,25;194,25;194,25;0;0
2019-02-22;194,00;194,00;194,00;194,00;0;0
2019-02-21;194,00;194,00;194,00;194,00;0;0
2019-02-20;194,10;194,10;194,10;194,10;0;0
2019-02-19;193,65;193,65;193,65;193,65;0;0
2019-02-18;193,80;193,80;193,80;193,80;0;0
2019-02-15;193,50;193,50;193,50;193,50;0;0
2019-02-14;193,70;193,70;193,70;193,70;0;0
2019-02-13;193,90;193,90;193,90;193,90;0;0
2019-02-12;194,00;194,00;194,00;194,00;0;0
2019-02-11;194,00;194,00;194,00;194,00;110;21.340
2019-02-08;194,00;194,00;194,00;194,00;0;0
2019-02-07;194,00;194,00;194,00;194,00;0;0
2019-02-06;194,00;194,00;194,00;194,00;0;0
2019-02-05;193,65;193,65;193,65;193,65;0;0
2019-02-04;193,25;193,25;193,25;193,25;0;0
2019-02-01;193,70;194,25;193,70;194,25;210;40.793
2019-01-31;194,15;194,15;194,15;194,15;0;0
2019-01-30;193,30;193,30;193,30;193,30;0;0
2019-01-29;193,70;193,70;193,70;193,70;0;0
2019-01-28;194,00;194,00;194,00;194,00;0;0
2019-01-25;193,90;193,90;193,90;193,90;0;0
2019-01-24;193,70;193,70;193,70;193,70;0;0
2019-01-23;193,50;193,50;193,50;193,50;103;19.931
2019-01-22;193,60;193,60;193,60;193,60;0;0
2019-01-21;193,50;193,50;193,50;193,50;0;0
2019-01-18;193,60;193,60;193,60;193,60;0;0
2019-01-17;193,10;193,10;193,10;193,10;0;0
2019-01-16;193,00;193,00;193,00;193,00;0;0
2019-01-15;193,05;193,05;193,05;193,05;0;0
2019-01-14;192,90;192,90;192,90;192,90;0;0
2019-01-11;192,65;192,65;192,65;192,65;0;0
2019-01-10;192,70;192,70;192,70;192,70;0;0
2019-01-09;192,70;192,70;192,70;192,70;0;0
2019-01-08;192,70;192,70;192,70;192,70;0;0
2019-01-07;192,00;192,00;192,00;192,00;0;0
2019-01-04;192,80;192,80;192,80;192,80;0;0
2019-01-03;192,60;193,15;192,60;193,15;56;10.816
2019-01-02;193,15;193,15;193,15;193,15;0;0
2018-12-28;193,05;193,05;193,05;193,05;0;0
2018-12-27;192,70;192,70;192,70;192,70;0;0
2018-12-21;192,60;192,60;192,60;192,60;0;0
