Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-10-31;161,74;165,60;161,31;165,47;18.031.147;1.834.895.863
2018-11-01;164,66;165,48;161,94;162,00;11.423.528;742.084.812
2018-11-02;160,66;161,81;155,44;159,84;6.835.139;727.832.801
2018-11-05;157,65;162,19;157,45;161,99;4.477.443;444.749.706
2018-11-06;161,83;166,35;161,67;165,53;2.460.757;353.273.907
2018-11-07;164,54;166,85;164,23;166,85;7.626.295;509.844.903
2018-11-08;164,50;166,15;162,93;165,30;4.010.008;474.799.471
2018-11-09;162,99;163,94;160,55;161,52;3.249.146;307.048.735
2018-11-12;160,06;162,30;158,91;159,22;1.990.839;244.763.216
2018-11-13;160,22;160,33;156,53;156,93;2.505.489;222.936.402
2018-11-14;158,19;158,24;153,00;153,36;2.338.650;292.870.529
2018-11-15;156,09;156,30;152,56;155,18;2.759.391;335.201.088
2018-11-16;153,74;158,4575;153,40;158,08;2.726.239;359.267.803
2018-11-19;158,61;161,45;158,44;159,50;2.444.705;316.554.924
2018-11-20;157,49;160,19;157,24;157,87;2.151.626;244.473.243
2018-11-21;159,24;161,24;158,5518;159,06;2.070.941;240.846.765
2018-11-23;156,86;158,01;156,02;156,19;963.558;129.982.226
2018-11-26;157,04;158,22;156,88;157,32;2.668.459;228.959.478
2018-11-27;155,66;156,65;151,52;152,55;2.524.410;296.615.031
2018-11-28;153,53;156,48;151,70;156,29;1.804.049;219.369.533
2018-11-29;155,51;159,84;155,35;159,31;2.810.036;363.414.630
2018-11-30;157,02;160,61;156,94;159,05;3.944.149;485.359.216
2018-12-03;162,30;164,42;159,92;164,35;3.177.158;391.233.525
2018-12-04;163,95;164,29;160,45;160,83;2.746.072;372.988.001
2018-12-06;158,53;159,02;153,00;155,98;4.756.704;647.050.286
2018-12-07;156,22;158,52;152,36;152,72;2.518.722;315.890.575
2018-12-10;156,03;157,545;154,11;156,91;2.522.416;323.409.314
2018-12-11;161,16;162,46;156,65;157,46;2.551.391;343.929.358
2018-12-12;161,65;162,14;159,46;160,55;2.402.588;331.907.974
2018-12-13;160,40;161,30;157,30;158,09;2.456.699;321.670.058
2018-12-14;157,38;158,47;156,05;156,93;2.360.754;311.961.634
2018-12-17;157,19;159,44;155,59;157,33;3.134.468;362.467.027
2018-12-18;158,42;158,89;156,63;157,61;2.086.579;256.046.847
2018-12-19;157,40;158,50;155,21;155,83;2.618.675;329.060.153
2018-12-20;154,48;156,40;152,44;154,05;3.396.332;386.763.420
2018-12-21;156,01;157,48;153,03;153,11;5.452.011;692.956.985
2018-12-24;152,70;153,41;148,13;148,13;2.086.789;289.815.763
2018-12-26;148,75;152,77;145,95;152,74;2.564.662;326.571.219
2018-12-27;152,05;156,41;150,60;156,41;2.791.189;317.527.946
2018-12-28;157,10;158,56;155,04;156,31;1.586.143;200.517.808
2018-12-31;156,23;156,83;153,94;156,04;570.824;229.645.806
2019-01-02;153,97;158,09;153,89;157,20;732.879;115.208.579
2019-01-03;154,35;154,35;151,94;152,29;453.225;69.021.635
2019-01-04;153,76;157,62;153,44;156,63;582.794;147.319.262
2019-01-07;155,78;158,04;155,15;156,49;541.619;133.552.660
2019-01-08;156,09;158,53;155,25;158,15;753.545;203.619.099
2019-01-09;156,79;159,52;156,43;158,46;310.732;70.032.759
2019-01-10;158,48;161,96;158,39;161,85;477.838;123.946.432
2019-01-11;160,52;160,76;159,45;160,21;298.148;66.965.805
2019-01-14;158,51;159,45;157,70;158,02;718.173;191.282.630
2019-01-15;157,00;157,87;156,58;157,23;418.295;95.544.251
2019-01-16;157,53;158,30;157,11;157,24;479.940;116.533.705
2019-01-17;156,40;157,55;156,25;157,26;508.292;115.452.997
2019-01-18;158,41;161,44;158,11;160,79;740.463;144.655.226
2019-01-22;161,45;161,78;159,71;160,84;476.552;110.292.417
2019-01-23;160,65;161,09;157,47;158,93;260.851;59.632.915
2019-01-24;157,61;157,91;156,44;157,37;522.271;118.516.300
2019-01-25;158,85;160,09;158,75;158,84;334.163;86.075.493
2019-01-28;157,28;158,35;156,91;158,21;263.588;60.316.521
2019-01-29;159,50;162,00;159,38;161,22;312.140;76.051.447
2019-01-30;161,65;163,72;161,24;162,92;237.580;56.113.103
2019-01-31;161,05;163,34;159,65;163,01;506.884;134.739.236
2019-02-01;163,84;165,89;163,47;165,76;359.998;85.809.192
2019-02-04;165,69;165,69;163,24;163,50;622.978;166.248.380
2019-02-05;165,26;165,96;163,82;164,99;837.923;220.736.330
2019-02-06;164,08;164,52;163,04;163,42;351.895;79.793.444
2019-02-07;161,94;162,18;159,44;160,69;342.834;72.571.674
2019-02-08;159,99;161,61;159,11;161,22;495.087;122.847.999
2019-02-11;161,06;161,60;160,635;161,35;442.252;115.267.322
2019-02-12;164,04;167,55;163,95;167,53;518.800;128.519.931
2019-02-13;167,31;168,46;167,01;167,38;567.135;153.712.003
2019-02-14;166,66;167,565;165,93;166,50;276.839;66.345.888
2019-02-15;170,35;170,35;167,77;168,54;788.960;190.501.890
2019-02-19;168,00;168,75;167,62;167,86;406.856;93.985.573
2019-02-20;167,59;171,00;167,59;170,30;497.526;110.020.612
2019-02-21;171,18;172,26;170,56;171,40;384.347;80.779.254
2019-02-22;172,24;173,64;171,68;173,50;293.900;69.141.915
2019-02-25;174,13;175,00;173,46;174,62;422.901;92.953.601
2019-02-26;173,85;174,87;173,45;173,91;598.556;146.744.281
2019-02-27;173,46;175,095;172,64;174,50;356.119;76.493.310
2019-02-28;174,58;174,92;173,12;173,24;643.911;173.503.228
2019-03-01;176,32;176,67;167,96;168,38;779.581;169.240.649
2019-03-04;168,14;168,87;166,08;168,70;468.972;97.773.579
2019-03-05;168,35;169,93;168,35;168,44;374.219;89.070.921
2019-03-06;168,94;169,68;168,25;169,13;227.546;44.806.386
2019-03-07;169,09;169,16;166,86;167,47;405.167;104.365.876
2019-03-08;168,63;169,51;167,79;169,46;403.731;103.690.901
2019-03-11;169,48;171,31;169,48;171,28;367.728;101.082.625
2019-03-12;171,90;172,90;171,44;172,32;365.068;88.321.619
