Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-12-30;0,0033;0,0033;0,0033;0,0033;300;1
2019-10-18;0,005;0,005;0,005;0,005;5.000;25
2019-10-17;0,0035;0,0035;0,0035;0,0035;250;1
2019-08-22;0,003;0,003;0,003;0,003;1.000;6
2019-07-15;0,0015;0,20;0,0015;0,0015;200;0
2019-04-29;0,0001;0,0001;0,0001;0,0001;175;0
2019-04-24;0,0501;0,0501;0,0501;0,0501;150;8
2019-02-04;0,0516;0,0516;0,0516;0,0516;375;19
2018-12-19;0,0015;0,0015;0,0015;0,0015;100;0
2018-12-13;0,0015;0,0015;0,0015;0,0015;200;0
2018-11-15;0,0001;0,0001;0,0001;0,0001;593;0
2018-09-05;0,0015;0,0015;0,0015;0,0015;4.996;7
2018-08-02;0,0005;0,0005;0,0005;0,0005;4.996;2
2018-06-05;0,0001;0,0001;0,0001;0,0001;1.000;0
2018-05-04;0,0001;0,0001;0,0001;0,0001;600;0
2018-03-19;0,001;0,001;0,001;0,001;300;0
2018-03-09;0,001;0,001;0,001;0,001;500;1
2018-02-05;0,0007;0,0007;0,0007;0,0007;100;0
2018-01-10;0,0006;0,0006;0,0006;0,0006;2.000;1
2017-12-29;0,0006;0,0006;0,0006;0,0006;615;0
2017-12-20;0,0006;0,0006;0,0006;0,0006;100;0
2017-12-19;0,0006;0,0006;0,0006;0,0006;2.900;2
2017-10-04;0,0011;0,0011;0,0011;0,0011;200;0
2017-09-13;0,12;0,12;0,12;0,12;100;0
2017-09-12;0,0009;0,0009;0,0009;0,0009;500;0
2017-09-07;0,001;0,001;0,001;0,001;400;0
2017-08-24;0,0013;0,0013;0,001;0,001;27.500;31
2017-06-02;0,0011;0,0011;0,0011;0,0011;1.050;1
2017-05-24;0,0011;0,0011;0,0011;0,0011;1.050;1
2017-04-11;0,0129;0,0129;0,0129;0,0129;193;2
2017-04-04;0,001;0,001;0,001;0,001;100;0
2016-12-06;0,0012;0,0012;0,0012;0,0012;1.000;1
2016-12-05;0,0012;0,0012;0,0012;0,0012;2.400;3
2016-10-28;0,0365;0,0557;0,0365;0,0557;1.700;66
2016-10-06;0,04;0,04;0,04;0,04;1.000;40
2016-09-30;0,0365;0,0365;0,0365;0,0365;200;7
2016-09-07;0,0365;0,0365;0,0365;0,0365;100;4
2016-08-26;0,0365;0,0365;0,0365;0,0365;1.000;37
2016-08-24;0,0365;0,0365;0,0365;0,0365;8.400;306
2016-07-29;0,0218;0,0218;0,0218;0,0218;618;13
2016-06-20;0,0136;0,0136;0,0136;0,0136;1.000;14
2016-05-24;0,0142;0,0142;0,0142;0,0142;2.000;28
2016-05-19;0,0468;0,0468;0,0168;0,0168;1.015;32
2016-05-18;0,0643;0,0643;0,0643;0,0643;400;26
2016-05-16;0,0181;0,0181;0,0181;0,0181;2.000;36
2016-03-15;0,0158;0,0158;0,0158;0,0158;8.000;126
2016-03-07;0,0169;0,0169;0,0169;0,0169;500;8
2016-02-19;0,01;0,0121;0,01;0,0121;5.400;55
2015-12-21;0,04;0,04;0,04;0,04;17.500;700
2015-12-17;0,0234;0,0234;0,0234;0,0234;900;21
2015-12-11;0,024;0,024;0,024;0,024;500;12
2015-12-10;0,0235;0,0235;0,0235;0,0235;6.000;141
2015-12-07;0,02;0,02;0,02;0,02;5.000;100
2015-11-30;0,0162;0,0162;0,0162;0,0162;3.700;60
2015-11-18;0,0201;0,0201;0,02;0,02;2.600;52
2015-11-16;0,0164;0,0164;0,0164;0,0164;10.200;167
2015-11-12;0,02;0,02;0,02;0,02;1.000;20
2015-10-20;0,1183;0,1183;0,1183;0,1183;3.700;438
2015-10-19;0,10;0,10;0,10;0,10;2.000;200
2015-10-09;0,20;0,20;0,20;0,20;2.500;500
2015-09-30;0,2501;0,2501;0,2501;0,2501;3.000;750
2015-09-21;0,28;0,28;0,28;0,28;500;140
2015-08-19;0,27;0,27;0,27;0,27;400;108
2015-08-17;0,27;0,27;0,27;0,27;3.800;1.026
2015-08-07;0,271;0,271;0,271;0,271;500;136
2015-08-04;0,3223;0,3223;0,3223;0,3223;500;161
2015-07-31;0,41;0,41;0,3223;0,3555;25.800;8.711
2015-07-30;0,50;0,50;0,50;0,50;2.000;1.000
2015-07-29;0,6358;0,75;0,60;0,67;5.400;3.536
2015-07-28;2,10;2,10;0,52;0,55;2.213;2.282
2015-07-23;2,29;2,29;2,29;2,29;1.000;2.290
2015-07-17;2,12;2,12;2,12;2,12;3.000;6.360
2015-07-16;2,12;2,12;2,12;2,12;3.500;7.420
2015-07-15;2,17;2,17;2,17;2,17;1.700;3.689
2015-07-14;2,22;2,22;2,19;2,19;1.225;2.707
2015-07-08;2,15;2,20;2,15;2,15;892;1.928
2015-07-06;2,14;2,20;2,14;2,20;3.150;6.924
2015-06-18;2,62;2,62;2,62;2,62;3.000;7.860
2015-06-17;2,62;2,62;2,62;2,62;350;917
2015-06-16;2,60;2,60;2,60;2,60;2.700;7.020
2015-06-02;2,75;2,75;2,75;2,75;5.000;13.750
2015-05-26;2,75;2,75;2,71;2,71;500;1.363
2015-05-12;2,83;2,83;2,83;2,83;1.000;2.830
2015-05-11;2,83;2,83;2,83;2,83;400;1.132
2015-05-08;2,84;2,84;2,83;2,838;3.600;10.204
2015-04-29;2,73;2,73;2,73;2,73;800;2.184
2015-04-23;2,73;2,73;2,73;2,73;100;273
2015-04-21;2,71;2,71;2,71;2,71;100;271
2015-04-10;2,70;2,70;2,70;2,70;170;459
2015-03-30;2,82;2,82;2,82;2,82;100;282
2015-03-19;2,61;2,61;2,61;2,61;100;261
2015-03-18;2,80;2,80;2,80;2,80;200;560
2015-03-17;2,824;2,824;2,824;2,824;100;282
2015-03-16;2,94;2,94;2,90;2,90;7.500;21.758
2015-03-13;2,90;2,90;2,85;2,85;3.000;8.575
2015-03-12;2,89;2,89;2,89;2,89;2.100;6.069
2015-03-05;2,90;2,95;2,90;2,95;6.500;19.013
2015-03-03;3,13;3,13;3,13;3,13;2.500;7.825
2015-02-17;3,18;3,18;3,18;3,18;900;2.862
2015-02-12;3,40;3,40;3,40;3,40;1.493;5.076
2015-02-10;3,11;3,11;3,11;3,11;200;622
2015-02-03;3,25;3,25;3,17;3,17;1.200;3.820
2015-02-02;3,07;3,07;3,07;3,07;1.000;3.070
2015-01-23;2,95;2,95;2,95;2,95;750;2.213
2015-01-20;3,00;3,05;2,94;2,94;3.400;10.115
2015-01-16;3,066;3,066;3,03;3,03;400;1.219
2015-01-14;3,07;3,07;3,07;3,07;5.000;15.350
2015-01-07;2,99;2,99;2,99;2,99;300;897
2015-01-02;2,85;2,85;2,85;2,85;1.000;2.850
2014-12-29;2,94;2,94;2,94;2,94;1.850;5.439
2014-12-24;2,89;2,89;2,89;2,89;2.500;7.225
2014-12-22;2,95;2,95;2,95;2,95;150;443
2014-12-19;3,06;3,067;3,05;3,067;1.700;5.202
2014-12-15;3,08;3,08;3,08;3,08;750;2.310
2014-12-11;3,2642;3,2642;3,2642;3,2642;10.000;32.642
2014-12-10;3,35;3,35;3,35;3,35;100;335
2014-12-09;3,63;3,69;3,63;3,69;3.100;11.319
2014-12-04;3,72;3,72;3,72;3,72;1.000;3.720
2014-12-02;3,72;3,72;3,72;3,72;3.600;13.392
2014-11-28;3,59;3,59;3,59;3,59;100;359
2014-11-18;3,82;3,82;3,72;3,72;1.200;4.491
2014-11-17;3,72;3,72;3,72;3,72;300;1.116
2014-11-13;3,5201;3,5201;3,52;3,52;2.000;7.040
2014-11-12;3,63;3,63;3,63;3,63;301;1.093
2014-11-06;2,97;2,97;2,97;2,97;100;297
2014-10-31;2,87;2,87;2,85;2,85;1.000;2.854
2014-10-29;2,78;2,78;2,78;2,78;4.400;12.232
2014-10-24;2,97;2,97;2,95;2,95;4.350;12.865
2014-10-23;2,88;2,894;2,88;2,894;6.946;20.054
2014-10-22;2,9596;2,9596;2,92;2,92;2.000;5.844
2014-10-21;3,07;3,07;3,07;3,07;100;307
2014-10-14;3,32;3,45;3,32;3,45;500;1.712
2014-10-13;3,18;3,18;3,01;3,01;310;954
2014-10-08;3,49;3,49;3,47;3,47;1.030;3.593
2014-10-07;3,60;3,60;3,60;3,60;1.605;5.778
2014-10-06;3,60;3,60;3,60;3,60;500;1.800
2014-09-30;3,74;3,74;3,74;3,74;200;748
2014-09-26;3,79;3,82;3,79;3,82;1.000;3.814
2014-09-25;3,6165;3,65;3,60;3,65;1.100;3.967
2014-09-24;3,60;3,60;3,60;3,60;6.236;22.450
2014-09-23;3,60;3,60;3,60;3,60;2.100;7.560
2014-09-22;3,733;3,733;3,733;3,733;100;373
2014-09-18;3,78;3,78;3,78;3,78;100;378
2014-09-16;3,74939;3,74939;3,74939;3,74939;1.013;3.800
2014-09-15;3,79872;3,79872;3,79872;3,79872;1.064;4.043
2014-09-10;3,79872;3,79872;3,79872;3,79872;355;1.348
