Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
30.12.2019;0,0033;0,0033;0,0033;0,0033;300;1
10.02.2014;4,83474;6,41343;4,83474;5,67342;248.683;1.306.479
11.02.2014;5,72275;6,11743;4,93341;5,32808;155.965;840.030
12.02.2014;5,13074;5,60435;4,68674;5,57475;165.996;833.026
13.02.2014;5,46622;5,92009;5,25408;5,33795;53.845;312.889
14.02.2014;5,03208;5,33795;4,78541;5,18008;69.759;348.733
18.02.2014;5,22941;5,22941;4,88407;4,95314;13.205;65.708
19.02.2014;4,93341;4,93341;4,44007;4,70647;55.028;209.402
20.02.2014;4,24273;4,68674;4,24273;4,44993;34.786;146.929
21.02.2014;4,64727;5,41688;4,64727;5,08141;32.449;219.054
24.02.2014;5,23928;5,32808;5,08141;5,26888;13.535;70.298
25.02.2014;5,13272;5,18008;5,09128;5,18008;9.730;49.317
26.02.2014;5,36261;5,68329;5,18008;5,18008;18.428;98.076
27.02.2014;5,12088;5,18008;5,03208;5,18008;2.020;10.383
28.02.2014;5,21461;5,22941;5,14061;5,14061;902;4.669
03.03.2014;5,13074;5,13074;4,6374;4,93341;6.025;29.109
04.03.2014;4,88407;4,90262;4,78541;4,90262;2.990;14.438
05.03.2014;4,85003;4,94327;4,73607;4,73607;2.939;9.862
06.03.2014;4,73607;5,10114;4,73607;4,92354;2.487;11.909
07.03.2014;4,98274;5,0005;4,73607;4,73607;3.258;15.680
10.03.2014;4,83474;4,83474;4,68674;4,73607;10.743;45.963
11.03.2014;4,77554;4,83474;4,58807;4,62754;3.811;17.810
12.03.2014;4,54367;4,54367;4,44007;4,44007;608;2.753
13.03.2014;4,40652;4,53873;4,3414;4,44007;5.600;24.941
14.03.2014;4,37652;4,37652;4,3414;4,3414;304;1.327
17.03.2014;4,44007;4,78541;4,35127;4,78541;4.110;18.529
18.03.2014;4,73706;5,22941;4,53873;4,66207;7.297;36.742
20.03.2014;4,55403;4,83474;4,44007;4,81501;8.969;41.941
21.03.2014;4,44007;4,49927;4,29206;4,29206;37.493;145.729
24.03.2014;4,44007;4,44007;4,14406;4,24273;3.603;15.346
25.03.2014;4,24273;4,4894;4,20326;4,20326;5.473;23.569
26.03.2014;4,29206;4,38087;4,23286;4,23286;8.311;35.486
27.03.2014;4,24273;4,29206;4,24273;4,29206;4.054;17.248
28.03.2014;4,39073;4,70647;4,39073;4,70647;2.222;9.980
31.03.2014;4,49039;4,58807;4,49039;4,58807;2.331;10.660
01.04.2014;4,44007;4,44007;4,44007;4,44007;608;2.700
02.04.2014;4,44007;4,44007;4,44007;4,44007;887;3.938
03.04.2014;4,44007;4,44007;4,29206;4,29206;912;3.967
04.04.2014;4,35669;4,35669;4,24273;4,24273;8.731;34.842
07.04.2014;4,23286;4,2748;4,18353;4,1934;0;0
08.04.2014;4,09473;4,09473;4,04539;4,04539;2.392;9.726
10.04.2014;4,24273;4,31574;4,24273;4,31574;1.419;6.082
11.04.2014;4,24372;4,3414;4,24372;4,3414;1.115;4.830
14.04.2014;4,04539;4,08486;4,03849;4,03849;6.588;26.655
15.04.2014;3,94673;3,98619;3,94673;3,98619;912;3.606
16.04.2014;4,0673;4,0673;3,95659;4,06513;3.775;15.126
17.04.2014;4,19438;4,29206;3,99606;3,99606;6.497;26.122
21.04.2014;4,02862;4,02862;3,99606;3,99606;1.013;4.053
22.04.2014;4,00593;4,00593;4,00593;4,00593;101;406
23.04.2014;4,09473;4,29206;4,09473;4,21017;1.216;5.117
24.04.2014;4,02566;4,02566;4,00593;4,00593;735;2.948
28.04.2014;3,94673;3,96646;3,94673;3,96646;1.318;5.214
30.04.2014;3,84806;3,84806;3,84806;3,84806;507;1.950
01.05.2014;3,84806;3,94673;3,84806;3,94673;9.539;36.925
02.05.2014;3,76912;3,76912;3,76912;3,76912;507;1.910
06.05.2014;3,79872;3,84806;3,79872;3,84806;468;1.787
07.05.2014;3,84806;3,84806;3,84806;3,84806;304;1.170
08.05.2014;3,84806;3,84806;3,84806;3,84806;6.081;23.400
12.05.2014;3,83819;3,83819;3,83819;3,83819;203;778
13.05.2014;3,78886;3,78886;3,78886;3,78886;2.534;9.600
14.05.2014;3,57179;3,65072;3,56192;3,57179;4.865;17.535
15.05.2014;3,55205;3,55205;3,55205;3,55205;1.645;5.843
16.05.2014;3,50272;3,65072;3,43365;3,43365;6.491;22.625
19.05.2014;3,76912;3,76912;3,76912;3,76912;304;1.146
21.05.2014;3,50272;3,50272;3,50272;3,50272;1.186;3.905
22.05.2014;3,64085;3,64085;3,61125;3,61125;811;2.935
23.05.2014;3,55205;3,55205;3,55205;3,55205;507;1.800
27.05.2014;3,66286;3,66286;3,62379;3,62379;279;738
28.05.2014;3,86779;3,86779;3,60139;3,60139;8.584;31.138
29.05.2014;3,54219;3,54219;3,54219;3,54219;203;718
03.06.2014;3,55205;3,55205;3,53232;3,55205;1.115;3.944
04.06.2014;3,54219;3,54219;3,54219;3,54219;2.534;8.975
05.06.2014;3,54219;3,57445;3,51259;3,55008;2.256;7.975
06.06.2014;3,56192;3,56192;3,56192;3,56192;811;2.888
09.06.2014;3,84806;3,84806;3,84806;3,84806;507;1.950
10.06.2014;3,52245;3,52245;3,52245;3,52245;223;714
12.06.2014;3,40405;3,42378;3,40405;3,40405;2.027;6.904
19.06.2014;3,28565;3,28565;3,28565;3,28565;507;1.665
20.06.2014;3,66059;3,66059;3,66059;3,66059;659;2.412
23.06.2014;3,66059;3,66059;3,66059;3,66059;1.013;3.710
25.06.2014;3,65072;3,65072;3,57179;3,57179;2.128;7.717
26.06.2014;3,65635;3,70499;3,56192;3,56192;1.723;6.162
27.06.2014;3,50272;3,56192;3,49285;3,54219;4.639;16.412
30.06.2014;3,56192;3,56192;3,56192;3,56192;132;361
01.07.2014;3,60139;3,63099;3,60139;3,63099;5.574;20.090
02.07.2014;3,84806;3,85792;3,84806;3,85792;2.361;8.941
03.07.2014;3,95659;3,95659;3,95659;3,95659;304;1.203
07.07.2014;4,03553;4,03553;4,03553;4,03553;3.750;15.133
11.07.2014;3,66059;3,66059;3,66059;3,66059;5.078;18.550
15.07.2014;3,72235;3,72235;3,65072;3,65072;1.013;3.707
16.07.2014;3,72966;3,76912;3,72966;3,76912;5.067;19.000
17.07.2014;3,72571;3,72571;3,66059;3,66059;2.534;9.282
22.07.2014;3,72966;3,72966;3,72966;3,72966;1.013;3.780
23.07.2014;4,06513;4,09473;4,06513;4,09473;2.331;9.485
25.07.2014;4,12433;4,12433;4,12433;4,12433;2.534;10.450
30.07.2014;4,61767;4,6374;4,58807;4,59794;8.648;39.906
05.08.2014;4,35127;4,38284;4,24273;4,38284;4.662;20.004
12.08.2014;4,3414;4,3414;4,3335;4,3335;3.395;14.737
13.08.2014;4,32166;4,32166;4,32166;4,32166;1.013;4.380
14.08.2014;4,33153;4,33153;4,33153;4,33153;6.253;5.136
