Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-01-10;1.427,56;1.434,9;1.419,28;1.429,73;526.236;752.375.396
2020-01-09;1.420,57;1.427,23;1.410,93;1.419,83;484.801;688.335.004
2020-01-08;1.392,08;1.411,54;1.390,84;1.404,32;530.328;744.750.217
2020-01-07;1.397,94;1.402,51;1.390,54;1.393,34;499.660;696.196.264
2020-01-06;1.350,36;1.396,24;1.350,36;1.394,21;552.768;770.674.673
2020-01-03;1.347,86;1.372,33;1.346,63;1.360,66;458.076;623.285.690
2020-01-02;1.341,55;1.367,73;1.341,55;1.367,37;547.998;749.316.025
2019-12-31;1.330,11;1.338;1.329,61;1.337,02;407.178;544.405.130
2019-12-30;1.350;1.351,88;1.334,29;1.336,14;382.083;510.516.380
2019-12-27;1.362,99;1.364,05;1.349,32;1.351,89;369.292;499.242.162
2019-12-26;1.346,17;1.361,05;1.344,55;1.360,4;255.847;348.054.259
2019-12-24;1.348,5;1.350,16;1.342,89;1.343,56;144.152;193.676.861
2019-12-23;1.355,87;1.359,69;1.346,65;1.348,84;313.149;422.387.897
2019-12-20;1.362,99;1.362,99;1.349,01;1.349,59;1.874.949;2.530.412.421
2019-12-19;1.351,82;1.358;1.348,99;1.356,04;617.062;836.760.754
2019-12-18;1.356,6;1.360,04;1.351,17;1.352,62;559.054;756.187.621
2019-12-17;1.362,89;1.365;1.351,5;1.355,12;607.533;823.280.119
2019-12-16;1.355,26;1.364,29;1.352,98;1.361,17;553.570;753.502.877
2019-12-13;1.347,95;1.352,98;1.344,1;1.347,83;567.241;764.544.437
2019-12-12;1.345,98;1.355,06;1.340,64;1.350,27;504.333;680.985.720
2019-12-11;1.347,06;1.350;1.342,81;1.345,02;357.274;480.540.675
2019-12-10;1.341,5;1.349,82;1.336,58;1.344,66;462.155;621.441.342
2019-12-09;1.338,04;1.359,24;1.338,04;1.343,56;506.208;680.120.820
2019-12-06;1.333,44;1.344;1.333,44;1.340,62;550.064;737.426.800
2019-12-05;1.328;1.329,04;1.316,74;1.328,13;474.317;629.954.637
2019-12-04;1.307,01;1.325,66;1.305,26;1.320,54;654.659;864.503.396
2019-12-03;1.279,57;1.298,35;1.279,18;1.295,28;486.254;629.835.081
2019-12-02;1.300,5;1.305,56;1.281;1.289,92;587.743;758.141.451
2019-11-29;1.305,5;1.310,14;1.303,97;1.304,96;256.239;334.381.645
2019-11-27;1.315;1.318,12;1.310,2;1.312,99;418.556;549.559.842
2019-11-26;1.309,86;1.314,66;1.305,51;1.313,55;486.188;638.632.247
2019-11-25;1.299,18;1.311,3;1.298,15;1.306,69;429.244;560.888.842
2019-11-22;1.303,75;1.308,03;1.291,51;1.295,34;476.244;616.897.903
2019-11-21;1.301,48;1.312,28;1.293,01;1.301,35;486.250;632.781.438
2019-11-20;1.311,74;1.315;1.291,43;1.303,05;584.296;761.366.903
2019-11-19;1.327,7;1.327,7;1.313;1.315,46;516.694;679.690.289
2019-11-18;1.333,14;1.335,52;1.317,55;1.320,7;511.275;675.240.893
2019-11-15;1.318;1.334,87;1.314,38;1.334,87;687.788;918.107.568
2019-11-14;1.297,5;1.316,98;1.295,97;1.311,46;435.119;570.641.164
2019-11-13;1.293,51;1.303,77;1.293,51;1.298;402.231;522.095.838
2019-11-12;1.300;1.309,93;1.295,81;1.298,8;350.858;511.992.420
2019-11-11;1.304,1;1.305,95;1.297,57;1.299,19;330.238;490.875.746
2019-11-08;1.305,28;1.318;1.304,38;1.311,37;485.714;831.134.996
2019-11-07;1.294,28;1.323,57;1.294,28;1.308,86;729.372;988.670.406
2019-11-06;1.289,46;1.293,29;1.282,96;1.291,8;417.609;867.868.874
2019-11-05;1.292,89;1.298,78;1.291,79;1.292,03;535.153;957.227.118
2019-11-04;1.276,45;1.294;1.276,45;1.291,37;569.953;962.280.956
2019-11-01;1.265;1.274,58;1.260,51;1.273,74;666.444;1.394.732.126
2019-10-31;1.261,28;1.267;1.252,36;1.260,11;905.193;1.195.848.286
2019-10-30;1.255,01;1.268,72;1.252;1.261,29;564.988;981.620.031
2019-10-29;1.276,23;1.281,59;1.257,29;1.262,62;605.988;836.990.008
2019-10-28;1.275,45;1.299,18;1.273;1.290;809.597;1.093.462.472
2019-10-25;1.251,03;1.269,45;1.250,02;1.265,13;496.396;799.919.460
2019-10-24;1.260,9;1.263,64;1.253,93;1.260,99;450.590;735.632.966
2019-10-23;1.242,36;1.259,62;1.242,36;1.259,13;393.120;576.195.510
2019-10-22;1.247,85;1.250,6;1.241,43;1.242,8;450.068;576.505.306
2019-10-21;1.252,26;1.254,62;1.240,6;1.246,15;484.928;995.854.054
2019-10-18;1.254,42;1.258,89;1.241,41;1.245,49;618.650;770.522.389
2019-10-17;1.250,98;1.263,32;1.249,94;1.253,07;423.340;530.474.654
2019-10-16;1.240,83;1.254,49;1.240,43;1.243,64;475.390;591.214.020
2019-10-15;1.220,4;1.247,04;1.220,4;1.243,01;533.317;662.918.364
2019-10-14;1.212,34;1.226,03;1.212;1.217,14;353.712;430.517.024
2019-10-11;1.222,21;1.228,33;1.213,75;1.215,45;542.700;659.624.715
2019-10-10;1.198,58;1.214,99;1.197,74;1.208,67;343.855;415.607.223
2019-10-09;1.199,35;1.208,24;1.197,69;1.202,31;383.196;460.720.383
2019-10-08;1.197,59;1.205,8;1.189,04;1.189,13;442.363;526.027.114
2019-10-07;1.204,4;1.217,92;1.204;1.207,68;392.542;474.065.123
2019-10-04;1.191,8;1.211,44;1.189,17;1.209;500.665;605.303.985
2019-10-03;1.180;1.189,02;1.162,76;1.187,83;568.896;675.751.736
2019-10-02;1.195;1.196,55;1.172;1.176,63;709.024;834.258.909
2019-10-01;1.219,01;1.230,76;1.203,58;1.205,1;587.472;707.962.507
2019-09-30;1.220,97;1.226;1.212,61;1.219;515.632;628.555.408
2019-09-27;1.243,01;1.244;1.214,47;1.225,09;485.252;625.474.764
2019-09-26;1.241,96;1.245;1.232,51;1.241,39;752.533;1.457.126.720
2019-09-25;1.213,77;1.248,3;1.210,09;1.246,52;581.130;933.274.172
2019-09-24;1.240;1.246,56;1.211,21;1.218,76;733.257;1.217.033.554
2019-09-23;1.226;1.239,09;1.224,17;1.234,03;526.546;956.166.966
2019-09-20;1.236,55;1.243,27;1.223,08;1.229,93;1.349.655;4.946.005.406
2019-09-19;1.232,06;1.244,32;1.232,04;1.238,71;429.259;698.052.298
2019-09-18;1.227,51;1.235,61;1.217,45;1.232,41;528.038;984.747.150
2019-09-17;1.230,4;1.235;1.223,71;1.229,15;466.732;813.893.396
2019-09-16;1.229,52;1.239,28;1.225,8;1.231,3;441.568;675.555.178
2019-09-13;1.231,35;1.240,49;1.227,04;1.239,56;518.824;824.996.002
2019-09-12;1.224,3;1.241,68;1.223,02;1.234,25;816.128;1.300.895.416
2019-09-11;1.203,41;1.222,48;1.202,2;1.220,17;624.118;983.566.566
2019-09-10;1.195,15;1.209,86;1.195;1.206;598.868;916.154.094
2019-09-09;1.204;1.220;1.193,22;1.204,41;650.720;913.015.396
2019-09-06;1.208,13;1.211,82;1.202,72;1.204,93;499.034;824.748.240
2019-09-05;1.191,53;1.212,91;1.191,53;1.211,38;658.029;1.006.556.532
2019-09-04;1.178,13;1.183,48;1.171,15;1.181,41;463.519;655.492.988
2019-09-03;1.177,03;1.186,04;1.163,2;1.168,39;594.248;965.015.014
2019-08-30;1.196,75;1.198;1.183,9;1.188,1;513.112;1.044.607.936
2019-08-29;1.181,12;1.196,02;1.181,12;1.192,85;429.812;324.240.918
2019-08-28;1.161,71;1.175,99;1.157,3;1.171,02;311.172;569.617.444
2019-08-27;1.180,53;1.182,4;1.162,19;1.167,84;405.420;614.361.880
2019-08-26;1.157,26;1.169,47;1.152,96;1.168,89;467.857;969.953.316
2019-08-23;1.181,99;1.193,84;1.147,75;1.151,29;750.260;1.308.476.080
2019-08-22;1.194,07;1.198,01;1.178,85;1.189,53;370.685;678.478.888
2019-08-21;1.193,15;1.199;1.187,6;1.191,25;263.555;456.721.480
2019-08-20;1.195,25;1.195,55;1.182,11;1.182,69;364.489;846.756.572
2019-08-19;1.190,09;1.206,99;1.190,09;1.198,45;527.242;1.145.164.178
2019-08-16;1.179,55;1.182,34;1.172,08;1.177,6;579.774;773.545.524
2019-08-15;1.164,32;1.175,6;1.162,13;1.167,26;510.089;603.785.934
2019-08-14;1.176,31;1.182,09;1.161;1.164,29;659.868;140.224.980
2019-08-13;1.171,46;1.204,42;1.171,46;1.197,27;547.017;908.246.416
2019-08-12;1.179,21;1.184,7;1.167,98;1.174,71;397.087;629.959.784
2019-08-09;1.195,71;1.203,88;1.183,62;1.188,01;412.300;667.327.718
2019-08-08;1.182,83;1.205;1.173,89;1.204,8;537.482;1.107.544.628
2019-08-07;1.156;1.178,39;1.149,93;1.173,99;582.031;886.138.998
2019-08-06;1.163,01;1.179,54;1.160,08;1.169,95;684.164;1.276.821.462
2019-08-05;1.170,04;1.175,24;1.140,74;1.152,32;1.032.399;1.689.666.730
2019-08-02;1.200,74;1.206,9;1.189,04;1.193,99;586.567;864.552.370
2019-08-01;1.213,14;1.234,1;1.206,1;1.209,01;637.146;924.468.000
2019-07-31;1.223;1.234;1.208,88;1.216,68;663.584;1.131.110.886
2019-07-30;1.223,43;1.234,87;1.223,3;1.225,14;488.367;854.287.354
2019-07-29;1.241,05;1.246,85;1.228,43;1.239,41;728.539;1.275.016.332
2019-07-26;1.225;1.265,14;1.224;1.250,41;1.790.732;2.665.771.874
2019-07-25;1.137,82;1.141,22;1.121,2;1.132,12;847.538;1.069.918.692
2019-07-24;1.131,9;1.143,47;1.127,01;1.137,81;579.662;947.767.742
2019-07-23;1.144;1.146,9;1.131,8;1.146,21;413.277;296.129.824
2019-07-22;1.133,45;1.139,22;1.124,39;1.138,07;476.920;419.433.694
2019-07-19;1.150;1.150,84;1.129,62;1.130,1;601.007;646.080.234
2019-07-18;1.141,74;1.147,59;1.132,76;1.146,33;371.826;315.798.447
2019-07-17;1.152,07;1.158,06;1.145,86;1.146,35;439.387;371.625.352
2019-07-16;1.145;1.158,5;1.145;1.153,58;373.882;275.966.302
2019-07-15;1.146,86;1.150,68;1.139,75;1.150,34;371.946;318.185.946
2019-07-12;1.143,99;1.147,18;1.138,81;1.144,9;323.233;297.397.720
2019-07-11;1.143,25;1.153,04;1.139,61;1.144,21;394.540;321.095.278
2019-07-10;1.131,22;1.141,73;1.131,1;1.140,48;483.702;341.138.279
2019-07-09;1.111,8;1.128;1.107,98;1.124,83;501.763;426.996.607
2019-07-08;1.125,17;1.125,87;1.111,41;1.116,35;410.937;343.173.309
2019-07-05;1.116,14;1.132,82;1.116,14;1.131,59;433.070;415.381.174
2019-07-03;1.117,41;1.126,67;1.114,14;1.121,58;308.635;294.894.300
2019-07-02;1.100,52;1.111,67;1.099,01;1.111,25;365.288;291.601.802
2019-07-01;1.098;1.107,5;1.093,81;1.097,95;474.358;400.344.665
2019-06-28;1.075,3;1.081;1.073,4;1.080,91;662.810;860.782.918
