Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
27032014;568;568;552,92;558,46;7300;4081282
28032014;561,2;566,43;558,67;559,99;30110;16933191
31032014;566,89;567;556,93;556,97;6535;3662166
01042014;558,71;568,45;558,71;567,16;5144;2907720
02042014;599,99;604,83;562,19;567;110339;62343688
03042014;599,99;604,83;562,19;567;110339;62343688
04042014;574,65;577,77;543;543,14;5039782;2674064759
05042014;574,65;577,77;543;543,14;5039782;2822053362
07042014;540,74;548,48;527,15;538,15;4364932;2348988156
08042014;542,6;555;541,61;554,9;2321123;1279130690
09042014;559,62;565,37;552,95;564,14;2562311;1431789351
10042014;565;565;539,9;540,95;3131030;1714059372
11042014;532,55;540;526,53;530,6;3076199;1639054015
14042014;538,25;544,1;529,561;532,52;1956030;1045404746
15042014;536,82;538,45;518,46;536,44;3840157;1310509314
16042014;543;557;540;556,54;2777413;1516346443
17042014;548,81;549,5;531,15;536,1;5351847;2881234558
18042014;548,81;549,5;531,15;536,1;5351847;2881234558
21042014;536,1;536,7;525,6;528,62;1993387;1056387501
22042014;528,64;537,23;527,51;534,81;1821467;970727773
23042014;533,79;533,87;526,25;526,94;1489215;789201766
24042014;530,07;531,65;522,12;525,16;1384079;727381946
25042014;522,51;524,7;515,42;516,18;1507518;778414587
26042014;522,51;524,7;515,42;516,18;1507518;767532954
28042014;517,18;518,6;502,8;517,15;2451581;1246790685
29042014;516,9;529,46;516,32;527,7;2109345;1105480222
30042014;527,6;528;522,52;526,66;1280758;671393356
01052014;527,11;532,93;523,88;531,35;1465909;774506962
02052014;533,76;534;525,61;527,93;1242725;651065844
03052014;533,76;534;525,61;527,93;1242725;651065844
05052014;524,82;528,9;521,32;527,81;751270;393148165
06052014;525,23;526,81;515,06;515,14;1191897;616931366
07052014;515,79;516,68;503,3;509,96;2556461;1277765620
08052014;508,46;517,23;506,45;511;1586803;814006212
09052014;510,75;519,9;504,2;518,73;1967924;1008343722
10052014;510,75;519,9;504,2;518,73;1967924;1008343722
12052014;523,51;530,19;519,01;529,92;1485865;765939279
13052014;530,89;536,07;529,51;533,09;1219499;629680415
14052014;533;533;525,29;526,65;866850;457879745
15052014;525,7;525,87;517,42;519,98;1276371;661170774
16052014;521,39;521,8;515,44;520,63;1136755;589546424
17052014;521,39;521,8;515,44;520,63;1136755;589546424
19052014;519,7;529,78;517,583;528,86;953154;486097796
20052014;529,74;536,23;526,3;529,77;1352400;713731883
21052014;532,9;539,183;531,91;538,94;879201;467512998
22052014;541,13;547,6;540,78;545,06;1607695;593481806
23052014;547,26;553,64;543,7;552,7;1487171;815347851
24052014;547,26;553,64;543,7;552,7;1487171;815347851
27052014;556;566;554,35;565,95;1595119;890352158
28052014;564,57;567,84;561;561,68;1644973;696731000
29052014;563,35;564;558,71;560,08;970189;543019036
30052014;560,8;561,35;555,91;559,89;1766237;677370424
02062014;560,7;560,9;545,73;553,93;1045369;581500363
03062014;550,99;552,34;542,55;544,94;1428880;776862807
04062014;541,5;548,61;538,75;544,66;1387012;749527837
05062014;546,4;554,95;544,45;553,9;1254119;690857380
06062014;558,06;558,06;548,93;556,33;1348007;747333325
07062014;558,06;558,06;548,93;556,33;1348007;747333325
09062014;557,15;562,9;556,04;562,12;1096821;613153458
10062014;560,51;563,6;557,9;560,55;1034895;574672418
11062014;558;559,88;555,02;558,84;796316;442370842
12062014;557,3;557,99;548,46;551,35;1085539;599346665
13062014;552,26;552,3;545,56;551,76;1217046;506284942
16062014;549,26;549,62;541,52;544,28;1246816;674721999
17062014;544,2;545,32;539,33;543,01;1075970;577387104
18062014;544,86;553,56;544;553,37;1284458;694173724
19062014;554,24;555;548,51;554,9;1919218;1057173405
20062014;556,85;557,58;550,391;556,36;3065746;1702608184
21062014;556,85;557,58;550,391;556,36;3065746;1702608184
23062014;555,15;565;554,25;564,95;1160594;647268409
24062014;565,19;572,646;561,01;568,42;1560124;942140459
25062014;565,26;579,96;565,22;578,65;1462730;836881631
26062014;581;582,45;571,85;576;1302062;749333828
27062014;577,18;579,87;573,8;577,24;1452984;803840862
28062014;577,18;579,87;573,8;577,24;1452984;803840862
30062014;578,66;579,57;574,75;575,28;952205;548365550
01072014;578,32;584,4;576,65;582,67;1076603;609252277
02072014;583,35;585,44;580,39;582,335;755547;439138624
03072014;583,35;585,01;580,92;584,73;516530;300872522
07072014;583,76;586,43;579,59;582,25;728991;422317926
08072014;577,66;579,528;566,135;571,09;1352657;749554259
09072014;571,58;576,72;569,376;576,08;798497;436367014
10072014;565,91;576,59;565,01;571,1;981684;559943019
11072014;571,91;580,85;571,42;579,18;1267818;726944344
14072014;582,6;585,21;578,03;584,87;1378640;801056415
15072014;585,74;585,805;576,56;584,78;1164610;672765713
16072014;588;588,4;582,2;582,66;1000041;540271506
17072014;579,53;580,99;568,61;573,7299;1818314;1016930730
18072014;593;596,8;582;595,08;2859037;1686277086
21072014;591,75;594,4;585,233;589,47;2056420;900141250
22072014;590,72;599,65;590,6;594,74;1226503;728127426
23072014;593,23;597,85;592,5;595,98;949635;563850869
24072014;596,45;599,5;591,77;593,35;724795;423879243
25072014;590,4;591,86;587,03;589,02;644997;379704187
26072014;590,4;591,86;587,03;589,02;644997;379704187
28072014;588,07;592,5;584,753;590,6;980623;404868636
29072014;588,75;589,7;583,515;585,61;960345;563122326
30072014;586,55;589,5;584;587,42;712168;417798941
31072014;580,6;583,65;570;571,6;1500616;862248844
01082014;570,4;575,96;562,85;566,07;1400276;793859822
02082014;570,4;575,96;562,85;566,07;1400276;793859822
04082014;569,04;575,35;564,1;573,43;1037041;534365869
05082014;570,05;571,98;562,61;565,07;1116198;631492102
06082014;561,78;570,7;560;566,374;950057;538285209
07082014;568;569,89;561,1;563,36;792138;446127140
08082014;563,56;570,25;560,35;568,77;1076177;605756910
09082014;563,56;570,25;560,35;568,77;1076177;605756910
11082014;569,99;570,49;566;567,88;892174;475932055
12082014;564,52;565,9;560,88;562,73;1225291;537678041
13082014;567,31;575;565,75;574,78;1051470;593489646
14082014;576,18;577,9;570,88;574,65;723667;415152551
15082014;577,86;579,38;570,52;573,48;1122615;629204712
