Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
03.01.2000; ; ; ;17,925;0;0
04.01.2000; ; ; ;17,5;0;0
05.01.2000; ; ; ;17,5;0;0
06.01.2000; ; ; ;18,25;0;0
07.01.2000; ; ; ;18;0;0
10.01.2000; ; ; ;18,2725;0;0
11.01.2000; ; ; ;18,1025;0;0
12.01.2000; ; ; ;18;0;0
13.01.2000; ; ; ;17,4625;0;0
14.01.2000; ; ; ;16,8375;0;0
17.01.2000; ; ; ;17;0;0
18.01.2000; ; ; ;17;0;0
19.01.2000; ; ; ;16,65;0;0
20.01.2000; ; ; ;16,375;0;0
21.01.2000; ; ; ;16,3875;0;0
24.01.2000; ; ; ;16,5;0;0
25.01.2000; ; ; ;15,96;0;0
26.01.2000; ; ; ;15,4125;0;0
27.01.2000; ; ; ;16,3375;0;0
28.01.2000; ; ; ;15,5;0;0
31.01.2000; ; ; ;14,3275;0;0
01.02.2000; ; ; ;14,775;0;0
02.02.2000; ; ; ;14,375;0;0
03.02.2000; ; ; ;14,35;0;0
04.02.2000; ; ; ;14,35;0;0
07.02.2000; ; ; ;15,425;0;0
08.02.2000; ; ; ;14,5525;0;0
09.02.2000; ; ; ;13,75;0;0
10.02.2000; ; ; ;13,975;0;0
11.02.2000; ; ; ;13,2625;0;0
14.02.2000; ; ; ;12,875;0;0
15.02.2000; ; ; ;12,425;0;0
16.02.2000; ; ; ;12,825;0;0
17.02.2000; ; ; ;13,125;0;0
18.02.2000; ; ; ;13,625;0;0
21.02.2000; ; ; ;12,925;0;0
22.02.2000; ; ; ;12,8625;0;0
23.02.2000; ; ; ;12,4;0;0
24.02.2000; ; ; ;12,25;0;0
25.02.2000; ; ; ;12,55;0;0
28.02.2000; ; ; ;13,245;0;0
29.02.2000; ; ; ;13,75;0;0
01.03.2000; ; ; ;13,75;0;0
02.03.2000; ; ; ;14,75;0;0
03.03.2000; ; ; ;13,6775;0;0
06.03.2000; ; ; ;12,7625;0;0
07.03.2000; ; ; ;13;0;0
08.03.2000; ; ; ;13,05;0;0
09.03.2000; ; ; ;12,9;0;0
10.03.2000; ; ; ;12,75;0;0
13.03.2000; ; ; ;12,5875;0;0
14.03.2000; ; ; ;12,75;0;0
15.03.2000; ; ; ;12,5375;0;0
16.03.2000; ; ; ;14,25;0;0
17.03.2000; ; ; ;13,7525;0;0
20.03.2000; ; ; ;13,5875;0;0
21.03.2000; ; ; ;13,88;0;0
22.03.2000; ; ; ;13,5725;0;0
23.03.2000; ; ; ;13,5;0;0
24.03.2000; ; ; ;13,325;0;0
27.03.2000; ; ; ;13,8525;0;0
