Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
03.01.2000; ; ; ;24,875;0;0
04.01.2000; ; ; ;23,925;0;0
05.01.2000; ; ; ;23,375;0;0
06.01.2000; ; ; ;24,015;0;0
07.01.2000; ; ; ;25;0;0
10.01.2000; ; ; ;25,11;0;0
11.01.2000; ; ; ;23,995;0;0
12.01.2000; ; ; ;24;0;0
13.01.2000; ; ; ;23,75;0;0
14.01.2000; ; ; ;23,75;0;0
17.01.2000; ; ; ;23,935;0;0
18.01.2000; ; ; ;23,975;0;0
19.01.2000; ; ; ;24,92;0;0
20.01.2000; ; ; ;24,7;0;0
21.01.2000; ; ; ;24,025;0;0
24.01.2000; ; ; ;23,59;0;0
25.01.2000; ; ; ;22,625;0;0
26.01.2000; ; ; ;22,01;0;0
27.01.2000; ; ; ;22,275;0;0
28.01.2000; ; ; ;22,625;0;0
31.01.2000; ; ; ;22,025;0;0
01.02.2000; ; ; ;21,01;0;0
02.02.2000; ; ; ;22,5;0;0
03.02.2000; ; ; ;21,825;0;0
04.02.2000; ; ; ;21,535;0;0
07.02.2000; ; ; ;20,875;0;0
08.02.2000; ; ; ;21,525;0;0
09.02.2000; ; ; ;21,55;0;0
10.02.2000; ; ; ;22;0;0
11.02.2000; ; ; ;22,065;0;0
14.02.2000; ; ; ;21,6;0;0
15.02.2000; ; ; ;20,495;0;0
16.02.2000; ; ; ;21,995;0;0
17.02.2000; ; ; ;23,25;0;0
18.02.2000; ; ; ;23,7;0;0
21.02.2000; ; ; ;23,5;0;0
22.02.2000; ; ; ;23,25;0;0
23.02.2000; ; ; ;23,57;0;0
24.02.2000; ; ; ;22,95;0;0
25.02.2000; ; ; ;22,58;0;0
28.02.2000; ; ; ;23,45;0;0
29.02.2000; ; ; ;23,95;0;0
01.03.2000; ; ; ;23,1;0;0
02.03.2000; ; ; ;23,45;0;0
03.03.2000; ; ; ;22,705;0;0
06.03.2000; ; ; ;23,125;0;0
